0,0,1,0,0,0.0,0.0,0.0,1.0,1.0,0.0
1,6,2,0,0,0.0,0.0,0.0,1.0,1.0,0.0
2,0,3,0,0,0.0,0.0,0.0,1.0,1.0,0.0
3,0,4,0,0,0.0,0.0,0.0,1.0,1.0,0.0
4,1,5,0,0,0.0,0.0,0.0,1.0,1.0,0.0
5,0,6,0,0,0.0,0.0,0.0,1.0,1.0,0.0
0,3,7,0,0,0.0,0.0,0.0,1.0,1.0,0.0
1,0,8,0,0,0.0,0.0,0.0,1.0,1.0,0.0
2,0,9,0,0,0.0,0.0,0.0,1.0,1.0,0.0
3,0,10,0,0,0.0,0.0,0.0,1.0,1.0,0.0
4,1,11,0,0,0.0,0.0,0.0,1.0,1.0,0.0
5,2,12,0,0,0.0,0.0,0.0,1.0,1.0,0.0
0,4,13,0,0,0.0,0.0,0.0,1.0,1.0,0.0
1,0,14,0,0,0.0,0.0,0.0,1.0,1.0,0.0
2,2,15,0,0,0.0,0.0,0.0,1.0,1.0,0.0
3,0,16,0,0,0.0,0.0,0.0,1.0,1.0,0.0
4,1,17,0,0,0.0,0.0,0.0,1.0,1.0,0.0
5,2,18,0,0,0.0,0.0,0.0,1.0,1.0,0.0
0,4,19,0,0,0.0,0.0,0.0,1.0,1.0,0.0
1,0,20,0,0,0.0,0.0,0.0,1.0,1.0,0.0
2,2,21,0,0,0.0,0.0,0.0,1.0,1.0,0.0
3,0,22,0,0,0.0,0.0,0.0,1.0,1.0,0.0
4,1,23,0,0,0.0,0.0,0.0,1.0,1.0,0.0
5,2,24,0,0,0.0,0.0,0.0,1.0,1.0,0.0
0,2,25,0,0,0.0,0.0,0.0,1.0,1.0,0.0
1,0,26,0,0,0.0,0.0,0.0,1.0,1.0,0.0
2,0,27,0,0,0.0,0.0,0.0,1.0,1.0,0.0
3,0,28,0,0,0.0,0.0,0.0,1.0,1.0,0.0
4,1,29,0,0,0.0,0.0,0.0,1.0,1.0,0.0
5,3,30,0,0,0.0,0.0,0.0,1.0,1.0,0.0
0,4,31,0,0,0.0,0.0,0.0,1.0,1.0,0.0
1,0,32,0,0,0.0,0.0,0.0,1.0,1.0,0.0
2,0,33,0,0,0.0,0.0,0.0,1.0,1.0,0.0
